Date,"BODY FAT" (%),"BODY MASS INDEX","BURNED CALORIES" (kcal),"CALORIE DEFICIT" (kcal),"DIETARY CALORIES" (kcal),"DISTANCE (R+W)" (km),"EXERCISE MINUTES","FLIGHTS CLIMBED","NET CALORIES" (kcal),"RESTING CALORIES" (kcal),"RESTING HEART RATE" (bpm),"SATURATED FAT" (g),"SLEEP","STEPS","TOTAL CALORIES" (kcal),"TOTAL FAT" (g),"WORKOUTS", DURATION
"24/02/2024",,,"420.51","2420.51",,"5.27","26m","3","2111.12","1690.61","54",,,"6923","2111.12",,,
"25/02/2024",,,,"2000",,"0.12",,"1","1413.41","1413.41",,,,"156","1413.41",,,
"26/02/2024",,,"594.89","2594.89",,"9.56","52m","7","2269.72","1674.83","65",,,"12813","2269.72",,,
"27/02/2024",,,,"2000",,"7.48",,"15","1392.39","1392.39",,,,"9309","1392.39",,,
"28/02/2024",,,"532.92","2532.92",,"7.05","43m","6","2211","1678.08","64",,,"9293","2211",,"Walking","27m"
"29/02/2024",,,"444.61","2444.61",,"6.87","53m","2","2058.06","1613.44","63",,,"8958","2058.06",,,
"01/03/2024",,,"448.9","2448.9",,"5.85","34m","9","2133.2","1684.3","58",,,"7845","2133.2",,,
"02/03/2024",,,"497.65","2497.65",,"6.73","37m","5.48","2097.64","1599.98","59",,,"9024","2097.64",,,
"03/03/2024",,,"0.11","2000.11",,"0.14",,"1","1501.1","1500.99",,,,"177","1501.1",,,
"04/03/2024",,,"0.1","2000.1",,"0.15",,"1","1435.11","1435.01",,,,"193","1435.11",,,
"05/03/2024",,,,"2000",,"5.41",,"1","1499.27","1499.27",,,,"6863","1499.27",,,
"06/03/2024",,,"505.54","2505.54",,"7.45","39m","7","2166.09","1660.55","63",,,"9823","2166.09",,,
"07/03/2024",,,"446.81","2446.81",,"9.07","47m","10","2055.34","1608.53","65",,,"11884","2055.34",,,
"08/03/2024",,,"486.82","2486.82",,"6.13","24m","7","2165.43","1678.61","58",,,"8195","2165.43",,,
"09/03/2024",,,"202.84","2202.84",,"5.5","15m",,"1814.32","1611.48","53",,,"7169","1814.32",,,
"10/03/2024",,,"449.65","2449.65",,"8.06","55m","5","2140.39","1690.74",,,,"10123","2140.39",,,
"11/03/2024",,,"403.2","2403.2",,"6.91","39m","8","2015.93","1612.73","69",,,"9074","2015.93",,,
"12/03/2024",,,"751.98","2751.98",,"12.79","1h 42m","17","2407.16","1655.18","56",,,"16506","2407.16",,"Walking","27m"
"13/03/2024",,,"476.93","2476.93",,"6.32","39m","7.22","2172.42","1695.49","60",,,"8317","2172.42",,,
"14/03/2024",,,"744.23","2744.23",,"11.77","1h 8m","9","2477.35","1733.12","68",,,"15811","2477.35",,,
"15/03/2024",,,"490.2","2490.2",,"6.38","32m","3","2150.94","1660.74","66",,,"8223","2150.94",,,
"16/03/2024",,,"492.56","2492.56",,"7.46","36m","1","2164.09","1671.53","56",,,"9588","2164.09",,,
"17/03/2024",,,"0.35","2000.35",,"2.7",,"3","1503.49","1503.15",,,,"3196","1503.49",,,
